HINT_WALL 1
nfp = 3
stellarator_symmetric = true
toroidal_planes = 65
poloidal_points = 204
DATA
# phi [rad]  R [m]  Z [m]; implicit poloidal closing segment
1.63624617374468380e-02 9.49442149671755553e-01 7.54006788643671766e-01
1.63624617374468380e-02 9.49617969445736176e-01 7.24436018650285951e-01
1.63624617374468380e-02 9.52112348358057359e-01 6.95005755721704199e-01
1.63624617374468380e-02 9.56756946842805100e-01 6.65843447935892119e-01
1.63624617374468380e-02 9.63552741981729910e-01 6.37078232741184025e-01
1.63624617374468380e-02 9.72567034575952061e-01 6.08895430810553751e-01
1.63624617374468380e-02 9.83838607708734991e-01 5.81532018141509011e-01
1.63624617374468380e-02 9.97326012140250184e-01 5.55223783285061390e-01
1.63624617374468380e-02 1.01289580623907316e+00 5.30136636766152636e-01
1.63624617374468380e-02 1.03032843244528216e+00 5.06317582053105508e-01
1.63624617374468380e-02 1.04932762597009721e+00 4.83686350118105013e-01
1.63624617374468380e-02 1.06953875825624944e+00 4.62066178827278740e-01
1.63624617374468380e-02 1.09058848920243423e+00 4.41233983570979760e-01
1.63624617374468380e-02 1.11214306554314346e+00 4.20964909589028768e-01
1.63624617374468380e-02 1.13395919378559729e+00 4.01054992184614600e-01
1.63624617374468380e-02 1.15589427349972618e+00 3.81321760617681693e-01
1.63624617374468380e-02 1.17786470108283026e+00 3.61595889571865337e-01
1.63624617374468380e-02 1.19977898205938072e+00 3.41719539630508884e-01
1.63624617374468380e-02 1.22149577321398350e+00 3.21557904164102404e-01
1.63624617374468380e-02 1.24284209889138353e+00 3.01016344467572416e-01
1.63624617374468380e-02 1.26367936513464163e+00 2.80046552494051637e-01
1.63624617374468380e-02 1.28395898694290533e+00 2.58628643982638962e-01
1.63624617374468380e-02 1.30370438097844787e+00 2.36731080032403590e-01
1.63624617374468380e-02 1.32290347913363515e+00 2.14267726564112942e-01
1.63624617374468380e-02 1.34136683560683534e+00 1.91079224170026374e-01
1.63624617374468380e-02 1.35864872762809918e+00 1.66957207291202891e-01
1.63624617374468380e-02 1.37410498601253916e+00 1.41708085201843970e-01
1.63624617374468380e-02 1.38707950895871956e+00 1.15230415955873744e-01
1.63624617374468380e-02 1.39712366698360824e+00 8.75703260110198833e-02
1.63624617374468380e-02 1.40412107146916232e+00 5.89294773238328781e-02
1.63624617374468380e-02 1.40824169906414176e+00 2.96242099340985089e-02
1.63624617374468380e-02 1.40975449451264345e+00 1.82528330384043241e-05
1.63624617374468380e-02 1.40881759082764746e+00 -2.95393052405180344e-02
1.63624617374468380e-02 1.40537908175553072e+00 -5.87488326110251827e-02
1.63624617374468380e-02 1.39924830286551161e+00 -8.73667380715115183e-02
1.63624617374468380e-02 1.39028610893237081e+00 -1.15200187737046697e-01
1.63624617374468380e-02 1.37858693255065035e+00 -1.42108756827657140e-01
1.63624617374468380e-02 1.36453464862477758e+00 -1.68019027972113655e-01
1.63624617374468380e-02 1.34869936549940728e+00 -1.92940900486926303e-01
1.63624617374468380e-02 1.33164368647955311e+00 -2.16966507094596306e-01
1.63624617374468380e-02 1.31375725597827220e+00 -2.40240883127867733e-01
1.63624617374468380e-02 1.29520844578351269e+00 -2.62912490385354580e-01
1.63624617374468380e-02 1.27601871956386415e+00 -2.85087597506440249e-01
1.63624617374468380e-02 1.25618907300284910e+00 -3.06813216098888786e-01
1.63624617374468380e-02 1.23578887853923480e+00 -3.28097250636044724e-01
1.63624617374468380e-02 1.21496105909867924e+00 -3.48952234738205636e-01
1.63624617374468380e-02 1.19386529307031908e+00 -3.69435706969573507e-01
1.63624617374468380e-02 1.17262193413958937e+00 -3.89664973186429842e-01
1.63624617374468380e-02 1.15130782858102587e+00 -4.09803008093029553e-01
1.63624617374468380e-02 1.13000682970206423e+00 -4.30031683435470380e-01
1.63624617374468380e-02 1.10887357780802320e+00 -4.50534317030973963e-01
1.63624617374468380e-02 1.08816212897668474e+00 -4.71497769934767996e-01
1.63624617374468380e-02 1.06820205970879245e+00 -4.93124215182675685e-01
1.63624617374468380e-02 1.04934477647875535e+00 -5.15630131873906050e-01
1.63624617374468380e-02 1.03191880780626888e+00 -5.39215904354248488e-01
1.63624617374468380e-02 1.01621468166759987e+00 -5.64011062051447576e-01
1.63624617374468380e-02 1.00248724259889155e+00 -5.90022718864186446e-01
1.63624617374468380e-02 9.90947356264083479e-01 -6.17120913988160713e-01
1.63624617374468380e-02 9.81731528470302428e-01 -6.45077138107743919e-01
1.63624617374468380e-02 9.74872758582420507e-01 -6.73640209090286435e-01
1.63624617374468380e-02 9.70315902518186668e-01 -7.02606901729746602e-01
1.63624617374468380e-02 9.68001892792920038e-01 -7.31841842610685855e-01
1.63624617374468380e-02 9.67994375436413756e-01 -7.61226739653137474e-01
1.63624617374468380e-02 9.70575685261710785e-01 -7.90559907081422542e-01
1.63624617374468380e-02 9.76235628247046239e-01 -8.19459857602585662e-01
1.63624617374468380e-02 9.85527698960329990e-01 -8.47331751796475796e-01
1.63624617374468380e-02 9.98845255867310877e-01 -8.73428538608848171e-01
1.63624617374468380e-02 1.01622479850683067e+00 -8.96993504067624015e-01
1.63624617374468380e-02 1.03727708871748003e+00 -9.17431363247625531e-01
1.63624617374468380e-02 1.06128081515241757e+00 -9.34441101991545287e-01
1.63624617374468380e-02 1.08738814458001065e+00 -9.48061332885986485e-01
1.63624617374468380e-02 1.11483894420322538e+00 -9.58617445008966396e-01
1.63624617374468380e-02 1.14308987916354532e+00 -9.66599353034840014e-01
1.63624617374468380e-02 1.17182435683092900e+00 -9.72521022189020590e-01
1.63624617374468380e-02 1.20087751251056685e+00 -9.76810637931792236e-01
1.63624617374468380e-02 1.23014502645152546e+00 -9.79758540256408961e-01
1.63624617374468380e-02 1.25953075006403359e+00 -9.81522145571640081e-01
1.63624617374468380e-02 1.28894462009634769e+00 -9.82166468090769018e-01
1.63624617374468380e-02 1.31832403529012754e+00 -9.81712647801763705e-01
1.63624617374468380e-02 1.34764353852741436e+00 -9.80173911752853178e-01
1.63624617374468380e-02 1.37689831520197914e+00 -9.77571690832617191e-01
1.63624617374468380e-02 1.40607484771293856e+00 -9.73936239753912525e-01
1.63624617374468380e-02 1.43513372540649509e+00 -9.69301214369145292e-01
1.63624617374468380e-02 1.46401809325277688e+00 -9.63700026584039970e-01
1.63624617374468380e-02 1.49267897434353225e+00 -9.57166656323022780e-01
1.63624617374468380e-02 1.52109536986956839e+00 -9.49739012408163608e-01
1.63624617374468380e-02 1.54927298703729877e+00 -9.41461394440432087e-01
1.63624617374468380e-02 1.57722430255800639e+00 -9.32384078191342502e-01
1.63624617374468380e-02 1.60494796054397404e+00 -9.22560624819666608e-01
1.63624617374468380e-02 1.63242484586941483e+00 -9.12045039675774327e-01
1.63624617374468380e-02 1.65963309584854257e+00 -9.00890420652014190e-01
1.63624617374468380e-02 1.68656811179403743e+00 -8.89148932724931451e-01
1.63624617374468380e-02 1.71324979649759390e+00 -8.76871455172053449e-01
1.63624617374468380e-02 1.73971039403811112e+00 -8.64105338278648438e-01
1.63624617374468380e-02 1.76597259760081138e+00 -8.50890330339674761e-01
1.63624617374468380e-02 1.79203536868479940e+00 -8.37254595246594069e-01
1.63624617374468380e-02 1.81787809081287488e+00 -8.23213300036035989e-01
1.63624617374468380e-02 1.84347842084520508e+00 -8.08770942458939657e-01
1.63624617374468380e-02 1.86882836481053349e+00 -7.93926290960233150e-01
